,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-01-13,324.08576144,283.0965334307537,356.9665154381672,324.08576144,324.08576144,-4.219611184199391,-4.219611184199391,-4.219611184199391,-4.219611184199391,-4.219611184199391,-4.219611184199391,0.0,0.0,0.0,319.8661502558006
1,2022-01-14,323.7303968586302,283.17743782521785,356.833932703502,323.7303968586302,323.7303968586302,-5.745592871260368,-5.745592871260368,-5.745592871260368,-5.745592871260368,-5.745592871260368,-5.745592871260368,0.0,0.0,0.0,317.9848039873698
2,2022-01-18,322.3089385331507,280.04178250643577,356.3412094351659,322.3089385331507,322.3089385331507,-4.37308079768635,-4.37308079768635,-4.37308079768635,-4.37308079768635,-4.37308079768635,-4.37308079768635,0.0,0.0,0.0,317.93585773546437
3,2022-01-19,321.9535739517808,280.44447527937655,357.5614748973717,321.9535739517808,321.9535739517808,-3.540678486627456,-3.540678486627456,-3.540678486627456,-3.540678486627456,-3.540678486627456,-3.540678486627456,0.0,0.0,0.0,318.4128954651534
4,2022-01-20,321.598209370411,279.11388917795404,353.69876976118053,321.598209370411,321.598209370411,-4.219611184202005,-4.219611184202005,-4.219611184202005,-4.219611184202005,-4.219611184202005,-4.219611184202005,0.0,0.0,0.0,317.378598186209
5,2022-01-21,321.2428447890411,280.0404944935699,353.28025910741394,321.2428447890411,321.2428447890411,-5.7455928712557425,-5.7455928712557425,-5.7455928712557425,-5.7455928712557425,-5.7455928712557425,-5.7455928712557425,0.0,0.0,0.0,315.4972519177854
6,2022-01-24,320.1767510449315,280.69304509083656,357.614793667871,320.1767510449315,320.1767510449315,-1.338823944019977,-1.338823944019977,-1.338823944019977,-1.338823944019977,-1.338823944019977,-1.338823944019977,0.0,0.0,0.0,318.83792710091154
7,2022-01-25,319.8213864635616,281.34972966036923,352.465596995014,319.8213864635616,319.8213864635616,-4.3730807976714425,-4.3730807976714425,-4.3730807976714425,-4.3730807976714425,-4.3730807976714425,-4.3730807976714425,0.0,0.0,0.0,315.4483056658902
8,2022-01-26,319.4660218821918,281.8522965119213,353.07191013079824,319.4660218821918,319.4660218821918,-3.540678486629128,-3.540678486629128,-3.540678486629128,-3.540678486629128,-3.540678486629128,-3.540678486629128,0.0,0.0,0.0,315.92534339556266
9,2022-01-27,319.1106573031434,281.9134354499856,351.69393069387297,319.1106573031434,319.1106573031434,-4.219611184207145,-4.219611184207145,-4.219611184207145,-4.219611184207145,-4.219611184207145,-4.219611184207145,0.0,0.0,0.0,314.89104611893623
